"Subject","tot","prefetch","hit","prefetch_rate","acc"
"Overall","3040","885","1338","29.111842105263158","44.01315789473684"
"algebra","345","71","190","20.579710144927535","55.072463768115945"
"analytic geometry","84","42","45","50.0","53.57142857142857"
"arithmetic","140","43","82","30.714285714285715","58.57142857142858"
"combinatorial geometry","308","130","94","42.2077922077922","30.519480519480517"
"combinatorics","168","21","74","12.5","44.047619047619044"
"counting","67","11","22","16.417910447761194","32.83582089552239"
"descriptive geometry","104","67","16","64.42307692307693","15.384615384615385"
"graph theory","90","11","29","12.222222222222221","32.22222222222222"
"logic","119","27","48","22.689075630252102","40.33613445378151"
"metric geometry - angle","173","42","65","24.277456647398843","37.57225433526011"
"metric geometry - area","500","133","237","26.6","47.4"
"metric geometry - length","449","120","243","26.7260579064588","54.12026726057907"
"solid geometry","244","59","98","24.18032786885246","40.16393442622951"
"statistics","58","21","31","36.206896551724135","53.44827586206896"
"topology","23","13","4","56.52173913043478","17.391304347826086"
"transformation geometry","168","74","60","44.047619047619044","35.714285714285715"
